,hid,name,full_name,begin_time,end_time
125,-123553,AMSC-1,AMSC-1 (spacecraft), 1995-APR-07 06:39:40.9611 UT, 2022-JAN-12 14:46:57.0061 UT
126,-123581,GOES-9,GOES-9 (spacecraft), 1995-MAY-22 11:52:00.3322 UT, 2022-MAR-13 21:17:02.4935 UT
127,-123754,Echostar-1,Echostar-1 (spacecraft), 1995-DEC-27 20:30:36.3185 UT, 2022-JAN-12 17:57:19.6805 UT
128,-123846,MSAT-1,MSAT-1 (spacecraft), 1996-APR-20 05:29:10.8344 UT, 2022-JAN-12 15:46:18.3294 UT
129,-124313,Echostar-2,Echostar-2 (spacecraft), 1996-SEP-10 07:18:15.5428 UT, 2022-JAN-12 14:25:41.0094 UT
130,-124720,HALCA,HALCA (spacecraft), 1997-FEB-11 22:40:14.0932 UT, 2022-JAN-12 13:54:42.8080 UT
131,-124786,GOES-10,GOES-10 (spacecraft), 1997-APR-24 12:02:50.5864 UT, 2022-MAR-13 08:21:30.0515 UT
132,-125126,HGS-1,HGS-1 (spacecraft), 1997-DEC-24 12:36:31.0487 UT, 2022-JAN-13 03:41:59.4145 UT
133,-125544,International Space Station,International Space Station (spacecraft), 1998-NOV-19 18:49:59.9998 UT, 2022-JAN-13 06:29:46.3131 UT
134,-125789,QuikSCAT,QuikSCAT (spacecraft), 1999-JUN-19 15:30:32.8792 UT, 2022-JAN-12 21:15:00.2794 UT
135,-125989,XMM-Newton,XMM-Newton (spacecraft), 1999-DEC-10 02:36:14.0872 UT, 2022-JAN-11 00:36:09.7209 UT
136,-125994,TERRA,TERRA (spacecraft), 1999-DEC-18 08:02:43.7148 UT, 2022-JAN-13 03:18:55.4602 UT
137,-126352,GOES-11,GOES-11 (spacecraft), 2000-MAY-02 13:09:46.3539 UT, 2022-MAR-13 12:20:29.8932 UT
138,-126402,Echostar-6,Echostar-6 (spacecraft), 2000-JUL-13 20:59:05.7719 UT, 2022-JAN-12 19:36:59.0417 UT
139,-126407,NAVSTAR-48,NAVSTAR-48 (spacecraft), 2000-JUL-15 17:54:36.8121 UT, 2022-JAN-12 20:36:42.8230 UT
140,-126619,EO-1,EO-1 (spacecraft), 2000-NOV-21 07:25:13.3991 UT, 2022-JAN-12 21:48:19.1486 UT
141,-126639,AMC-8,AMC-8 (spacecraft), 2000-DEC-20 04:41:28.7765 UT, 2022-JAN-12 16:22:21.0665 UT
142,-126824,Intelsat-901,Intelsat-901 (spacecraft), 2001-JUN-08 13:46:29.6368 UT, 2022-JAN-12 20:19:58.5440 UT
143,-126871,GOES-12,GOES-12 (spacecraft), 2001-JUL-22 13:24:05.7634 UT, 2022-MAR-13 17:21:42.5501 UT
144,-127391,GRACE-1,GRACE-1 (spacecraft), 2002-MAR-16 22:40:45.0702 UT, 2018-APR-08 21:59:42.8878 UT
145,-127424,Aqua,Aqua (spacecraft), 2002-MAY-03 22:54:33.2893 UT, 2022-JAN-13 02:02:22.6288 UT
146,-127783,GALEX,GALEX (spacecraft), 2003-APR-28 01:14:08.4293 UT, 2021-DEC-14 08:37:31.5232 UT
147,-128376,Aura,Aura (spacecraft), 2004-JUL-14 23:01:30.5875 UT, 2022-JAN-12 21:10:17.2520 UT
148,-128378,Anik-F2,Anik-F2 (spacecraft), 2004-JUL-17 07:33:23.3173 UT, 2022-JAN-12 14:45:56.7213 UT
149,-128485,Swift Observatory,Swift Observatory (spacecraft), 2004-NOV-20 06:26:48.3377 UT, 2022-JAN-12 20:24:42.3749 UT
150,-128868,Anik-F1R,Anik-F1R (spacecraft), 2005-SEP-08 11:10:39.3113 UT, 2022-JAN-13 02:13:59.6323 UT
151,-128884,Galaxy-15,Galaxy-15 (spacecraft), 2005-OCT-13 16:24:50.3173 UT, 2022-JAN-12 16:22:58.7447 UT
152,-129107,Cloudsat,Cloudsat (spacecraft), 2006-APR-27 22:13:40.5126 UT, 2022-JAN-12 21:36:55.3064 UT
153,-129494,DirecTV-9S,DirecTV-9S (spacecraft), 2006-OCT-13 04:14:45.0335 UT, 2022-JAN-13 03:50:14.3059 UT
154,-129520,XM-4,XM-4 (spacecraft), 2006-OCT-30 12:24:26.9554 UT, 2022-JAN-12 16:28:00.1710 UT
155,-132487,Thor-5,Thor-5 (spacecraft), 2008-FEB-10 16:25:01.4828 UT, 2022-JAN-13 02:37:27.5825 UT
156,-133105,Jason-2,Jason-2 (spacecraft), 2008-JUN-19 20:52:41.2314 UT, 2022-JAN-12 22:35:35.1828 UT
157,-133207,Echostar-11,Echostar-11 (spacecraft), 2008-JUL-15 18:01:43.9556 UT, 2022-JAN-13 03:46:58.3490 UT
158,-135491,GOES-14,GOES-14 (spacecraft), 2009-JUN-27 06:08:54.1075 UT, 2022-JAN-12 16:31:01.0278 UT
159,-136032,NSS-12,NSS-12 (spacecraft), 2009-OCT-29 03:18:28.1267 UT, 2022-JAN-13 03:30:15.5707 UT
160,-136395,Solar Dynamics Observatory,Solar Dynamics Observatory (spacecraft), 2010-FEB-11 05:01:51.7512 UT, 2022-JAN-23 06:04:55.9458 UT
161,-136499,Echostar-14,Echostar-14 (spacecraft), 2010-MAR-20 10:05:36.3330 UT, 2022-JAN-13 03:38:27.2749 UT
162,-137218,SKYTERRA-1,SKYTERRA-1 (spacecraft), 2010-NOV-14 20:39:06.6609 UT, 2022-JAN-12 19:58:45.0158 UT
163,-137820,Tiangong-1,Tiangong-1 (spacecraft), 2011-SEP-29 05:23:49.9577 UT, 2018-APR-02 00:20:00.0000 UT
164,-138250,BEIDOU-M3,BEIDOU-M3 (spacecraft), 2012-APR-29 12:33:23.9002 UT, 2022-JAN-12 22:35:31.8183 UT
165,-138358,NuSTAR,NuSTAR (spacecraft), 2012-JUN-13 05:55:02.4220 UT, 2022-JAN-13 02:52:17.2347 UT
166,-138551,Echostar-17,Echostar-17 (spacecraft), 2012-JUL-05 12:16:45.4713 UT, 2022-JAN-12 14:47:04.5419 UT
167,-138833,NAVSTAR-67,NAVSTAR-67 (spacecraft), 2012-OCT-04 02:25:20.0487 UT, 2022-JAN-12 12:21:44.7998 UT
168,-139089,NEOSsat,NEOSsat (spacecraft), 2013-FEB-25 06:32:57.8870 UT, 2022-JAN-12 19:10:01.8687 UT
